,Unnamed: 0,Deaths,Cases,Total Deaths,Date,7 day average
0,0,0,0,0,02/29/2020,0.0
1,1,0,0,0,03/01/2020,0.0
2,2,0,0,0,03/02/2020,0.0
3,3,0,0,0,03/03/2020,0.0
4,4,0,1,0,03/04/2020,0.5
5,5,0,3,0,03/05/2020,0.5
6,6,0,1,0,03/06/2020,0.7142857142857143
7,7,0,2,0,03/07/2020,1.0
8,8,0,6,0,03/08/2020,1.8571428571428568
9,9,0,16,0,03/09/2020,4.142857142857143
10,10,0,11,0,03/10/2020,5.7142857142857135
11,11,0,31,0,03/11/2020,10.0
12,12,0,96,0,03/12/2020,23.285714285714285
13,13,0,166,0,03/13/2020,46.85714285714285
14,14,1,163,1,03/14/2020,69.85714285714286
15,15,0,433,1,03/15/2020,130.85714285714286
16,16,1,740,2,03/16/2020,234.28571428571428
17,17,4,784,6,03/17/2020,344.71428571428567
18,18,6,967,12,03/18/2020,478.4285714285714
19,19,6,1204,18,03/19/2020,636.7142857142858
20,20,11,1137,29,03/20/2020,775.4285714285713
21,21,12,555,41,03/21/2020,831.4285714285713
22,22,10,755,51,03/22/2020,877.4285714285713
23,23,27,911,78,03/23/2020,901.8571428571428
24,24,23,1213,101,03/24/2020,963.1428571428572
25,25,37,1252,138,03/25/2020,1003.8571428571428
26,26,50,1376,188,03/26/2020,1028.4285714285713
27,27,75,1426,263,03/27/2020,1069.7142857142858
28,28,78,862,341,03/28/2020,1113.5714285714287
29,29,90,1147,431,03/29/2020,1169.5714285714287
30,30,106,1756,537,03/30/2020,1290.2857142857142
31,31,126,1518,663,03/31/2020,1333.857142857143
32,32,135,1596,798,04/01/2020,1383.0
33,33,170,1623,968,04/02/2020,1418.2857142857142
34,34,142,1441,1110,04/03/2020,1420.428571428571
35,35,163,922,1273,04/04/2020,1429.0
36,36,167,1144,1440,04/05/2020,1428.571428571429
37,37,169,1478,1609,04/06/2020,1388.857142857143
38,38,181,1407,1790,04/07/2020,1373.0
39,39,173,1315,1963,04/08/2020,1332.857142857143
40,40,190,1369,2153,04/09/2020,1296.5714285714287
41,41,178,1154,2331,04/10/2020,1255.5714285714287
42,42,159,1130,2490,04/11/2020,1285.2857142857142
43,43,200,702,2690,04/12/2020,1222.142857142857
44,44,158,1065,2848,04/13/2020,1163.142857142857
45,45,152,1037,3000,04/14/2020,1110.2857142857142
46,46,132,881,3132,04/15/2020,1048.2857142857142
47,47,126,884,3258,04/16/2020,979.0
48,48,118,960,3376,04/17/2020,951.2857142857144
49,49,116,574,3492,04/18/2020,871.8571428571429
50,50,118,635,3610,04/19/2020,862.2857142857142
51,51,95,983,3705,04/20/2020,850.5714285714287
52,52,92,897,3797,04/21/2020,830.5714285714287
53,53,108,854,3905,04/22/2020,826.7142857142858
54,54,106,786,4011,04/23/2020,812.7142857142858
55,55,93,629,4104,04/24/2020,765.4285714285713
56,56,76,405,4180,04/25/2020,741.2857142857142
57,57,61,332,4241,04/26/2020,698.0
58,58,88,609,4329,04/27/2020,644.5714285714286
59,59,57,712,4386,04/28/2020,618.1428571428571
60,60,72,682,4458,04/29/2020,593.5714285714286
61,61,66,600,4524,04/30/2020,567.0
62,62,56,499,4580,05/01/2020,548.4285714285714
63,63,45,264,4625,05/02/2020,528.2857142857143
64,64,45,247,4670,05/03/2020,516.1428571428571
65,65,42,462,4712,05/04/2020,495.1428571428572
66,66,49,434,4761,05/05/2020,455.4285714285714
67,67,38,452,4799,05/06/2020,422.57142857142856
68,68,46,402,4845,05/07/2020,394.28571428571433
69,69,43,344,4888,05/08/2020,372.1428571428572
70,70,28,119,4916,05/09/2020,351.42857142857144
71,71,26,188,4942,05/10/2020,343.0
72,72,33,410,4975,05/11/2020,335.57142857142856
73,73,33,400,5008,05/12/2020,330.7142857142857
74,74,23,362,5031,05/13/2020,317.85714285714283
75,75,14,334,5045,05/14/2020,308.14285714285717
76,76,26,259,5071,05/15/2020,296.0
77,77,24,165,5095,05/16/2020,302.57142857142856
78,78,19,137,5114,05/17/2020,295.2857142857143
79,79,17,266,5131,05/18/2020,274.7142857142857
80,80,16,329,5147,05/19/2020,264.57142857142856
81,81,21,326,5168,05/20/2020,259.42857142857144
82,82,15,337,5183,05/21/2020,259.85714285714283
83,83,15,365,5198,05/22/2020,275.0
84,84,20,154,5218,05/23/2020,273.42857142857144
85,85,12,168,5230,05/24/2020,277.85714285714283
86,86,14,166,5244,05/25/2020,263.57142857142856
87,87,12,323,5256,05/26/2020,262.7142857142857
88,88,11,246,5267,05/27/2020,251.28571428571428
89,89,12,222,5279,05/28/2020,234.85714285714286
90,90,16,168,5295,05/29/2020,206.7142857142857
91,91,11,106,5306,05/30/2020,199.85714285714286
92,92,11,85,5317,05/31/2020,188.0
93,93,10,252,5327,06/01/2020,200.28571428571428
94,94,6,185,5333,06/02/2020,180.57142857142856
95,95,13,133,5346,06/03/2020,164.42857142857142
96,96,10,131,5356,06/04/2020,151.42857142857142
97,97,6,130,5362,06/05/2020,146.0
98,98,10,59,5372,06/06/2020,139.28571428571428
99,99,6,53,5378,06/07/2020,134.71428571428572
100,100,13,112,5391,06/08/2020,114.71428571428572
101,101,6,121,5397,06/09/2020,105.57142857142857
102,102,11,97,5408,06/10/2020,100.42857142857143
103,103,4,115,5412,06/11/2020,98.14285714285714
104,104,6,123,5418,06/12/2020,97.14285714285714
105,105,4,52,5422,06/13/2020,96.14285714285714
106,106,7,53,5429,06/14/2020,96.14285714285714
107,107,4,102,5433,06/15/2020,94.71428571428572
108,108,5,132,5438,06/16/2020,96.28571428571428
109,109,7,113,5445,06/17/2020,98.57142857142857
110,110,4,112,5449,06/18/2020,98.14285714285714
111,111,3,91,5452,06/19/2020,93.57142857142857
112,112,4,46,5456,06/20/2020,92.71428571428572
113,113,6,54,5462,06/21/2020,92.85714285714286
114,114,7,109,5469,06/22/2020,93.85714285714286
115,115,9,95,5478,06/23/2020,88.57142857142857
116,116,11,101,5489,06/24/2020,86.85714285714286
117,117,5,81,5494,06/25/2020,82.42857142857143
118,118,3,94,5497,06/26/2020,82.85714285714286
119,119,11,72,5508,06/27/2020,86.57142857142857
120,120,1,58,5509,06/28/2020,87.14285714285714
121,121,5,126,5514,06/29/2020,89.57142857142857
122,122,5,128,5519,06/30/2020,94.28571428571428
123,123,5,121,5524,07/01/2020,97.14285714285714
124,124,4,129,5528,07/02/2020,104.0
125,125,5,72,5533,07/03/2020,100.85714285714286
126,126,6,23,5539,07/04/2020,93.85714285714286
127,127,5,53,5544,07/05/2020,93.14285714285714
128,128,4,143,5548,07/06/2020,95.57142857142857
129,129,4,124,5552,07/07/2020,95.0
130,130,5,121,5557,07/08/2020,95.0
131,131,4,104,5561,07/09/2020,91.42857142857143
132,132,3,91,5564,07/10/2020,94.14285714285714
133,133,2,72,5566,07/11/2020,101.14285714285714
134,134,4,56,5570,07/12/2020,101.57142857142857
135,135,2,123,5572,07/13/2020,98.71428571428572
136,136,4,110,5576,07/14/2020,96.71428571428572
137,137,2,149,5578,07/15/2020,100.71428571428572
138,138,3,91,5581,07/16/2020,98.85714285714286
139,139,0,103,5581,07/17/2020,100.57142857142857
140,140,5,58,5586,07/18/2020,98.57142857142857
141,141,3,40,5589,07/19/2020,96.28571428571428
142,142,4,85,5593,07/20/2020,90.85714285714286
143,143,5,80,5598,07/21/2020,86.57142857142857
144,144,1,96,5599,07/22/2020,79.0
145,145,5,84,5604,07/23/2020,78.0
146,146,2,67,5606,07/24/2020,72.85714285714286
147,147,2,35,5608,07/25/2020,69.57142857142857
148,148,4,40,5612,07/26/2020,69.57142857142857
149,149,2,80,5614,07/27/2020,68.85714285714286
150,150,1,106,5615,07/28/2020,72.57142857142857
151,151,1,71,5616,07/29/2020,69.0
152,152,2,95,5618,07/30/2020,70.57142857142857
153,153,1,79,5619,07/31/2020,72.28571428571429
154,154,3,58,5622,08/01/2020,75.57142857142857
155,155,2,41,5624,08/02/2020,75.71428571428571
156,156,0,93,5624,08/03/2020,77.57142857142857
157,157,2,48,5626,08/04/2020,69.28571428571429
158,158,0,94,5626,08/05/2020,72.57142857142857
159,159,2,85,5628,08/06/2020,71.14285714285714
160,160,0,89,5628,08/07/2020,72.57142857142857
161,161,1,56,5629,08/08/2020,72.28571428571429
162,162,0,48,5629,08/09/2020,73.28571428571429
163,163,1,72,5630,08/10/2020,70.28571428571429
164,164,1,80,5631,08/11/2020,74.85714285714286
165,165,0,114,5631,08/12/2020,77.71428571428571
166,166,2,85,5633,08/13/2020,77.71428571428571
167,167,1,79,5634,08/14/2020,76.28571428571429
168,168,2,33,5636,08/15/2020,73.0
169,169,1,49,5637,08/16/2020,73.14285714285714
170,170,1,95,5638,08/17/2020,76.42857142857143
171,171,0,64,5638,08/18/2020,74.14285714285714
172,172,1,68,5639,08/19/2020,67.57142857142857
173,173,3,55,5642,08/20/2020,63.28571428571429
174,174,0,74,5642,08/21/2020,62.57142857142857
175,175,2,34,5644,08/22/2020,62.714285714285715
176,176,0,55,5644,08/23/2020,63.57142857142857
177,177,1,86,5645,08/24/2020,62.28571428571429
178,178,2,83,5647,08/25/2020,65.0
179,179,1,116,5648,08/26/2020,71.85714285714286
180,180,0,94,5648,08/27/2020,77.42857142857143
181,181,1,77,5649,08/28/2020,77.85714285714286
