,specimen_collection_date,Case Count,7 day average,Data Reliability
0,2020-03-03,2,0.0,More reliable
1,2020-03-05,6,0.0,More reliable
2,2020-03-07,5,0.0,More reliable
3,2020-03-08,1,0.0,More reliable
4,2020-03-10,6,0.0,More reliable
5,2020-03-11,9,0.0,More reliable
6,2020-03-12,6,5.0,More reliable
7,2020-03-13,16,7.0,More reliable
8,2020-03-14,10,7.571428571428571,More reliable
9,2020-03-15,11,8.428571428571429,More reliable
10,2020-03-16,41,14.142857142857142,More reliable
11,2020-03-17,27,17.142857142857142,More reliable
12,2020-03-18,21,18.857142857142858,More reliable
13,2020-03-19,19,20.714285714285715,More reliable
14,2020-03-20,36,23.57142857142857,More reliable
15,2020-03-21,17,24.57142857142857,More reliable
16,2020-03-22,24,26.42857142857143,More reliable
17,2020-03-23,33,25.285714285714285,More reliable
18,2020-03-24,42,27.42857142857143,More reliable
19,2020-03-25,43,30.57142857142857,More reliable
20,2020-03-26,44,34.142857142857146,More reliable
21,2020-03-27,34,33.857142857142854,More reliable
22,2020-03-28,17,33.857142857142854,More reliable
23,2020-03-29,13,32.285714285714285,More reliable
24,2020-03-30,43,33.714285714285715,More reliable
25,2020-03-31,56,35.714285714285715,More reliable
26,2020-04-01,42,35.57142857142857,More reliable
27,2020-04-02,34,34.142857142857146,More reliable
28,2020-04-03,27,33.142857142857146,More reliable
29,2020-04-04,15,32.857142857142854,More reliable
30,2020-04-05,36,36.142857142857146,More reliable
31,2020-04-06,52,37.42857142857143,More reliable
32,2020-04-07,58,37.714285714285715,More reliable
33,2020-04-08,67,41.285714285714285,More reliable
34,2020-04-09,76,47.28571428571429,More reliable
35,2020-04-10,28,47.42857142857143,More reliable
36,2020-04-11,24,48.714285714285715,More reliable
37,2020-04-12,18,46.14285714285714,More reliable
38,2020-04-13,33,43.42857142857143,More reliable
39,2020-04-14,49,42.142857142857146,More reliable
40,2020-04-15,53,40.142857142857146,More reliable
41,2020-04-16,33,34.0,More reliable
42,2020-04-17,44,36.285714285714285,More reliable
43,2020-04-18,15,35.0,More reliable
44,2020-04-19,33,37.142857142857146,More reliable
45,2020-04-20,38,37.857142857142854,More reliable
46,2020-04-21,30,35.142857142857146,More reliable
47,2020-04-22,34,32.42857142857143,More reliable
48,2020-04-23,47,34.42857142857143,More reliable
49,2020-04-24,36,33.285714285714285,More reliable
50,2020-04-25,53,38.714285714285715,More reliable
51,2020-04-26,32,38.57142857142857,More reliable
52,2020-04-27,37,38.42857142857143,More reliable
53,2020-04-28,73,44.57142857142857,More reliable
54,2020-04-29,52,47.14285714285714,More reliable
55,2020-04-30,39,46.0,More reliable
56,2020-05-01,35,45.85714285714285,More reliable
57,2020-05-02,45,44.714285714285715,More reliable
58,2020-05-03,13,42.0,More reliable
59,2020-05-04,44,43.0,More reliable
60,2020-05-05,43,38.714285714285715,More reliable
61,2020-05-06,42,37.285714285714285,More reliable
62,2020-05-07,29,35.857142857142854,More reliable
63,2020-05-08,31,35.285714285714285,More reliable
64,2020-05-09,9,30.142857142857146,More reliable
65,2020-05-10,5,29.0,More reliable
66,2020-05-11,29,26.857142857142854,More reliable
67,2020-05-12,52,28.142857142857146,More reliable
68,2020-05-13,32,26.714285714285715,More reliable
69,2020-05-14,34,27.42857142857143,More reliable
70,2020-05-15,35,28.0,More reliable
71,2020-05-16,8,27.857142857142854,More reliable
72,2020-05-17,12,28.857142857142854,More reliable
73,2020-05-18,44,31.0,More reliable
74,2020-05-19,31,28.0,More reliable
75,2020-05-20,42,29.42857142857143,More reliable
76,2020-05-21,24,28.0,More reliable
77,2020-05-22,32,27.57142857142857,More reliable
78,2020-05-23,17,28.857142857142854,More reliable
79,2020-05-24,11,28.714285714285715,More reliable
80,2020-05-25,9,23.714285714285715,More reliable
81,2020-05-26,48,26.142857142857146,More reliable
82,2020-05-27,34,25.0,More reliable
83,2020-05-28,23,24.857142857142854,More reliable
84,2020-05-29,31,24.714285714285715,More reliable
85,2020-05-30,22,25.42857142857143,More reliable
86,2020-05-31,27,27.714285714285715,More reliable
87,2020-06-01,38,31.857142857142854,More reliable
88,2020-06-02,46,31.57142857142857,More reliable
89,2020-06-03,27,30.57142857142857,More reliable
90,2020-06-04,37,32.57142857142857,More reliable
91,2020-06-05,30,32.42857142857143,More reliable
92,2020-06-06,16,31.57142857142857,More reliable
93,2020-06-07,17,30.142857142857146,More reliable
94,2020-06-08,36,29.857142857142854,More reliable
95,2020-06-09,33,28.0,More reliable
96,2020-06-10,19,26.857142857142854,More reliable
97,2020-06-11,23,24.857142857142854,More reliable
98,2020-06-12,28,24.57142857142857,More reliable
99,2020-06-13,22,25.42857142857143,More reliable
100,2020-06-14,15,25.142857142857146,More reliable
101,2020-06-15,35,25.0,More reliable
102,2020-06-16,48,27.142857142857146,More reliable
103,2020-06-17,51,31.714285714285715,More reliable
104,2020-06-18,46,35.0,More reliable
105,2020-06-19,43,37.142857142857146,More reliable
106,2020-06-20,41,39.857142857142854,More reliable
107,2020-06-21,32,42.285714285714285,More reliable
108,2020-06-22,105,52.28571428571429,More reliable
109,2020-06-23,78,56.57142857142857,More reliable
110,2020-06-24,60,57.85714285714285,More reliable
111,2020-06-25,66,60.714285714285715,More reliable
112,2020-06-26,70,64.57142857142857,More reliable
113,2020-06-27,52,66.14285714285714,More reliable
114,2020-06-28,36,66.71428571428571,More reliable
115,2020-06-29,72,62.0,More reliable
116,2020-06-30,97,64.71428571428571,More reliable
