,Unnamed: 0,Total Cases,Total Deaths,Population,COVID per 1000
0,Alamance County,3243,46,169509,19.131727518892802
1,Alexander County,409,3,37497,10.907539269808252
2,Alleghany County,202,0,11137,18.137739067971626
3,Anson County,445,3,24446,18.203387057187268
4,Ashe County,206,1,27203,7.572694188141013
5,Avery County,144,0,17557,8.201856809249872
6,Beaufort County,593,9,46994,12.618632165808403
7,Bertie County,441,6,18947,23.275452578244572
8,Bladen County,724,10,32722,22.1257869323391
9,Brunswick County,1401,24,142820,9.809550483125612
10,Buncombe County,2492,72,261191,9.540910674563824
11,Burke County,1855,30,90485,20.500635464441622
12,Cabarrus County,3221,54,216453,14.880828632543786
13,Caldwell County,1436,17,82178,17.474263184793983
14,Camden County,97,3,10867,8.926106561148432
15,Carteret County,509,5,69473,7.3265873072992385
16,Caswell County,249,2,22604,11.015749424880552
17,Catawba County,2638,45,159551,16.53389825196959
18,Chatham County,1494,56,74470,20.06176984020411
19,Cherokee County,446,5,28612,15.587865231371453
20,Chowan County,223,2,13943,15.993688589256255
21,Clay County,89,1,11231,7.9244947021636545
22,Cleveland County,1624,42,97947,16.580395520026137
23,Columbus County,1124,52,55508,20.24933342941558
24,Craven County,995,26,102139,9.741626606878864
25,Cumberland County,4117,67,335509,12.270907784888037
26,Currituck County,109,0,27763,3.9260886791773215
27,Dare County,242,2,37009,6.53894998513875
28,Davidson County,2203,32,167609,13.143685601608505
29,Davie County,484,6,42846,11.296270363627874
30,Duplin County,2085,52,58741,35.49479920328221
31,Durham County,6942,84,321488,21.593340964515004
32,Edgecombe County,968,20,51472,18.806341311781164
33,Forsyth County,6220,76,382295,16.270157862383762
34,Franklin County,1063,29,69685,15.254358900767741
35,Gaston County,4126,63,224529,18.376245384783253
36,Gates County,87,3,11562,7.524649714582252
37,Graham County,58,0,8441,6.871223788650634
38,Granville County,1546,45,60443,25.577817116953163
39,Greene County,420,4,21069,19.934500925530397
40,Guilford County,6967,170,537174,12.96972675520409
41,Halifax County,874,11,50010,17.47650469906019
42,Harnett County,1665,46,135976,12.244807907277755
43,Haywood County,512,25,62317,8.216056613765105
44,Henderson County,1695,60,117417,14.435729068192849
45,Hertford County,556,16,23677,23.48270473455252
46,Hoke County,880,12,55234,15.932215664264765
47,Hyde County,96,0,4937,19.4450070893255
48,Iredell County,2376,24,181806,13.068875614666185
49,Jackson County,492,7,43938,11.197596613409805
50,Johnston County,3860,52,209339,18.438991301190885
51,Jones County,134,7,9419,14.226563329440491
52,Lee County,1448,13,61779,23.438385211803364
53,Lenoir County,805,17,55949,14.388103451357484
54,Lincoln County,1128,13,86111,13.099371741124829
55,Macon County,545,2,35858,15.19883986836968
56,Madison County,70,1,21755,3.2176511146862787
57,Martin County,350,7,22440,15.597147950089129
58,McDowell County,804,24,45756,17.571466037241017
59,Mecklenburg County,25558,291,1110356,23.017842926052545
60,Mitchell County,93,3,14964,6.214915797914996
61,Montgomery County,893,18,27173,32.863504213741585
62,Moore County,1310,21,100880,12.985725614591596
63,Nash County,1703,24,94298,18.059767969628197
64,New Hanover County,3122,21,234473,13.314965902257402
65,Northampton County,340,17,19483,17.45111122517066
66,Onslow County,1501,12,197938,7.583182612737322
67,Orange County,2305,50,148476,15.52439451493844
68,Pamlico County,168,2,12726,13.2013201320132
69,Pasquotank County,564,23,39824,14.162314182402573
70,Pender County,772,4,63060,12.242308912147159
71,Perquimans County,141,2,13463,10.47314862957736
72,Person County,332,5,39490,8.407191694099772
73,Pitt County,3617,19,180742,20.011950736408807
74,Polk County,229,7,20724,11.049990349353406
75,Randolph County,2431,44,143667,16.92107442906165
76,Richmond County,673,11,44829,15.012603448660464
77,Robeson County,3607,60,130625,27.613397129186602
78,Rockingham County,846,8,91010,9.295681793209537
79,Rowan County,2841,65,142088,19.99465120207196
80,Rutherford County,942,19,67029,14.053618583001388
81,Sampson County,1623,21,63531,25.54658355763328
82,Scotland County,672,8,34823,19.297590672831173
83,Stanly County,1528,31,62806,24.328885775244398
84,Stokes County,335,3,45591,7.347941479678006
85,Surry County,1167,17,71783,16.257331122967837
86,Swain County,131,3,14271,9.179454838483636
87,Transylvania County,261,2,34385,7.590519121710048
88,Tyrrell County,107,2,4016,26.643426294820717
89,Union County,3991,51,239859,16.638942045118178
90,Vance County,915,42,44535,20.545638262041088
91,Wake County,15203,201,1111761,13.674701666994975
92,Warren County,291,6,19731,14.748365516192793
93,Washington County,180,6,11580,15.544041450777204
94,Watauga County,442,0,56177,7.867988678640724
95,Wayne County,2830,53,123131,22.98365155809666
96,Wilkes County,1044,22,68412,15.260480617435533
97,Wilson County,1752,36,81801,21.417831077859685
98,Yadkin County,644,7,37667,17.097193830143098
99,Yancey County,93,0,18069,5.1469367424871315
