,Unnamed: 0,Total Cases,Total Deaths,Population,COVID per 1000
0,Alamance County,2396,41,169509,14.134942687408929
1,Alexander County,295,2,37497,7.867296050350696
2,Alleghany County,167,0,11137,14.995061506689416
3,Anson County,327,3,24446,13.376421500449972
4,Ashe County,157,1,27203,5.771422269602617
5,Avery County,99,0,17557,5.6387765563592875
6,Beaufort County,406,2,46994,8.639400774566965
7,Bertie County,269,5,18947,14.19749828468887
8,Bladen County,623,7,32722,19.039178534319422
9,Brunswick County,1240,21,142820,8.682257386920599
10,Buncombe County,1850,47,261191,7.08293930495308
11,Burke County,1643,28,90485,18.157705697076864
12,Cabarrus County,2603,50,216453,12.025705349429204
13,Caldwell County,1209,14,82178,14.711966706417774
14,Camden County,69,2,10867,6.349498481641668
15,Carteret County,339,6,69473,4.879593511148215
16,Caswell County,193,2,22604,8.538311803220669
17,Catawba County,2107,29,159551,13.20580880094766
18,Chatham County,1295,52,74470,17.389552840069822
19,Cherokee County,269,4,28612,9.40164965748637
20,Chowan County,155,1,13943,11.116689378182599
21,Clay County,76,0,11231,6.7669842400498625
22,Cleveland County,1167,20,97947,11.914606879230606
23,Columbus County,896,48,55508,16.141817395690712
24,Craven County,697,12,102139,6.824033914567402
25,Cumberland County,3042,51,335509,9.06682086024518
26,Currituck County,73,0,27763,2.629398840182977
27,Dare County,209,2,37009,5.647274987165284
28,Davidson County,1758,18,167609,10.488696907683957
29,Davie County,414,6,42846,9.662512253185831
30,Duplin County,2006,48,58741,34.149912326994766
31,Durham County,6114,80,321488,19.01781715025133
32,Edgecombe County,632,13,51472,12.278520360584395
33,Forsyth County,5213,52,382295,13.636066388521956
34,Franklin County,860,26,69685,12.341249910310685
35,Gaston County,3299,51,224529,14.692979526030044
36,Gates County,46,2,11562,3.978550423802111
37,Graham County,35,0,8441,4.1464281483236585
38,Granville County,1231,27,60443,20.366295518091427
39,Greene County,326,3,21069,15.47296976600693
40,Guilford County,5580,156,537174,10.38769560701002
41,Halifax County,698,6,50010,13.957208558288345
42,Harnett County,1260,39,135976,9.266341119021005
43,Haywood County,421,12,62317,6.755780926552948
44,Henderson County,1472,54,117417,12.536515155386358
45,Hertford County,334,11,23677,14.106516872914646
46,Hoke County,713,9,55234,12.908715646159976
47,Hyde County,42,0,4937,8.507190601579907
48,Iredell County,1805,18,181806,9.928165187067533
49,Jackson County,444,5,43938,10.105148163321044
50,Johnston County,3275,46,209339,15.644480961502635
51,Jones County,82,4,9419,8.705807410553136
52,Lee County,1281,11,61779,20.735201281989024
53,Lenoir County,568,12,55949,10.15210280791435
54,Lincoln County,840,9,86111,9.754851296582318
55,Macon County,460,3,35858,12.828378604495509
56,Madison County,45,0,21755,2.0684900022983217
57,Martin County,258,6,22440,11.497326203208553
58,McDowell County,675,14,45756,14.752163650668766
59,Mecklenburg County,22066,226,1110356,19.87290562666388
60,Mitchell County,116,2,14964,7.751937984496124
61,Montgomery County,644,14,27173,23.69999631987635
62,Moore County,1005,20,100880,9.96233148295004
63,Nash County,1158,12,94298,12.280218032195805
64,New Hanover County,2566,20,234473,10.943690744776585
65,Northampton County,349,16,19483,17.913052404660473
66,Onslow County,1047,10,197938,5.289535106952681
67,Orange County,1341,47,148476,9.031762709124706
68,Pamlico County,67,1,12726,5.2648121955052645
69,Pasquotank County,395,20,39824,9.918642024909602
70,Pender County,654,3,63060,10.371075166508088
71,Perquimans County,85,2,13463,6.3136002376884806
72,Person County,208,2,39490,5.267156242086604
73,Pitt County,1962,11,180742,10.855252237996702
74,Polk County,161,5,20724,7.768770507624012
75,Randolph County,2170,37,143667,15.104373307718545
76,Richmond County,505,9,44829,11.265029333690245
77,Robeson County,2784,53,130625,21.312918660287078
78,Rockingham County,543,8,91010,5.966377321173497
79,Rowan County,2173,48,142088,15.29333933900118
80,Rutherford County,712,14,67029,10.622267973563682
81,Sampson County,1500,14,63531,23.61052084808991
82,Scotland County,339,2,34823,9.73494529477644
83,Stanly County,1049,26,62806,16.702225901983887
84,Stokes County,291,3,45591,6.38283871816806
85,Surry County,928,9,71783,12.927851998384018
86,Swain County,119,2,14271,8.338588746408801
87,Transylvania County,135,1,34385,3.926130580194852
88,Tyrrell County,98,1,4016,24.402390438247014
89,Union County,3072,42,239859,12.807524420597101
90,Vance County,765,40,44535,17.177500842034355
91,Wake County,11906,168,1111761,10.709136226221284
92,Warren County,256,7,19731,12.974507120774415
93,Washington County,132,4,11580,11.398963730569946
94,Watauga County,287,0,56177,5.108852377307438
95,Wayne County,2401,42,123131,19.499557381975293
96,Wilkes County,792,11,68412,11.57691633046834
97,Wilson County,1476,35,81801,18.043789195731105
98,Yadkin County,532,6,37667,14.123768816205162
99,Yancey County,101,0,18069,5.589683989152691
