,Unnamed: 0,Total Cases,Total Deaths,Population,COVID per 1000
0,Alamance County,3573,48,169509,21.07852680388652
1,Alexander County,473,3,37497,12.614342480731793
2,Alleghany County,217,0,11137,19.48460087994972
3,Anson County,510,3,24446,20.86230876216968
4,Ashe County,241,1,27203,8.859316987097012
5,Avery County,306,0,17557,17.428945719655978
6,Beaufort County,788,10,46994,16.768098055070862
7,Bertie County,515,7,18947,27.18108407663482
8,Bladen County,799,11,32722,24.417822871462626
9,Brunswick County,1482,26,142820,10.37669794146478
10,Buncombe County,2760,72,261191,10.566979719821893
11,Burke County,1967,33,90485,21.738409681162626
12,Cabarrus County,3604,58,216453,16.650265877580814
13,Caldwell County,1522,17,82178,18.520771982769112
14,Camden County,107,3,10867,9.846323732400847
15,Carteret County,583,5,69473,8.391749312682625
16,Caswell County,275,3,22604,12.165988320651211
17,Catawba County,2842,48,159551,17.812486289650327
18,Chatham County,1572,57,74470,21.109171478447696
19,Cherokee County,535,6,28612,18.69844820355096
20,Chowan County,281,3,13943,20.153482033995548
21,Clay County,103,1,11231,9.171044430593893
22,Cleveland County,1844,54,97947,18.826508213625733
23,Columbus County,1260,52,55508,22.699430712690067
24,Craven County,1147,29,102139,11.229794691547792
25,Cumberland County,4745,74,335509,14.142690658074748
26,Currituck County,136,0,27763,4.8986060584230815
27,Dare County,258,2,37009,6.971277256883462
28,Davidson County,2452,33,167609,14.629286016860672
29,Davie County,519,6,42846,12.1131494188489
30,Duplin County,2121,52,58741,36.10765904564104
31,Durham County,7318,88,321488,22.762902503359374
32,Edgecombe County,1175,30,51472,22.827945290643452
33,Forsyth County,6634,86,382295,17.3530911992048
34,Franklin County,1151,30,69685,16.517184472985576
35,Gaston County,4568,70,224529,20.34481069260541
36,Gates County,108,3,11562,9.340944473274519
37,Graham County,119,0,8441,14.097855704300438
38,Granville County,1646,48,60443,27.23226841817911
39,Greene County,486,5,21069,23.067065356685177
40,Guilford County,7700,174,537174,14.334275299995904
41,Halifax County,925,17,50010,18.496300739852032
42,Harnett County,1875,49,135976,13.789198093781257
43,Haywood County,557,31,62317,8.938170964584303
44,Henderson County,1833,60,117417,15.611027364010322
45,Hertford County,641,24,23677,27.072686573467927
46,Hoke County,982,13,55234,17.778904298077272
47,Hyde County,123,3,4937,24.9139153331983
48,Iredell County,2558,25,181806,14.069942686159973
49,Jackson County,521,7,43938,11.8576175520051
50,Johnston County,4133,54,209339,19.743096126378745
51,Jones County,142,11,9419,15.0759103938847
52,Lee County,1533,13,61779,24.814257271888504
53,Lenoir County,903,22,55949,16.13969865413144
54,Lincoln County,1360,14,86111,15.79356876589518
55,Macon County,564,2,35858,15.728707680294495
56,Madison County,85,1,21755,3.907147782119053
57,Martin County,398,9,22440,17.7361853832442
58,McDowell County,863,25,45756,18.86091441559577
59,Mecklenburg County,26931,334,1110356,24.254383278876325
60,Mitchell County,99,3,14964,6.615878107457899
61,Montgomery County,986,23,27173,36.28601921024546
62,Moore County,1470,22,100880,14.571768437747819
63,Nash County,1965,31,94298,20.838193811109463
64,New Hanover County,3679,25,234473,15.690505943114983
65,Northampton County,387,17,19483,19.863470718061897
66,Onslow County,1707,18,197938,8.62391253826956
67,Orange County,2526,54,148476,17.012850561706937
68,Pamlico County,218,2,12726,17.13028445701713
69,Pasquotank County,630,26,39824,15.81960626757734
70,Pender County,834,5,63060,13.225499524262608
71,Perquimans County,161,3,13463,11.958701626680535
72,Person County,384,6,39490,9.723980754621422
73,Pitt County,4318,25,180742,23.890407320932603
74,Polk County,253,7,20724,12.208067940552015
75,Randolph County,2590,49,143667,18.027800399535035
76,Richmond County,838,12,44829,18.69325659729193
77,Robeson County,4050,66,130625,31.00478468899521
78,Rockingham County,1074,13,91010,11.80090099989012
79,Rowan County,3054,79,142088,21.49372220032656
80,Rutherford County,1057,21,67029,15.76929388772024
81,Sampson County,1701,22,63531,26.77433064173396
82,Scotland County,831,12,34823,23.86353846595641
83,Stanly County,1720,52,62806,27.38591854281438
84,Stokes County,387,3,45591,8.488517470553399
85,Surry County,1242,20,71783,17.30214674783723
86,Swain County,135,3,14271,9.459743535841918
87,Transylvania County,293,6,34385,8.521157481459941
88,Tyrrell County,110,2,4016,27.390438247011954
89,Union County,4385,56,239859,18.28157375791611
90,Vance County,987,43,44535,22.16234422364432
91,Wake County,16393,213,1111761,14.745075605278473
92,Warren County,301,7,19731,15.255182200598044
93,Washington County,195,8,11580,16.839378238341972
94,Watauga County,531,0,56177,9.452266941986935
95,Wayne County,3032,62,123131,24.624180750582713
96,Wilkes County,1117,28,68412,16.327544875168098
97,Wilson County,1968,44,81801,24.058385594308138
98,Yadkin County,687,7,37667,18.238776647994264
99,Yancey County,116,0,18069,6.419835076650617
