,Unnamed: 0,Total Cases,Total Deaths,Population,COVID per 1000
0,Alamance County,3391,46,169509,20.004837501253625
1,Alexander County,439,3,37497,11.707603274928664
2,Alleghany County,207,0,11137,18.586693005297658
3,Anson County,480,3,24446,19.635114129100877
4,Ashe County,225,1,27203,8.271146564717126
5,Avery County,222,0,17557,12.644529247593553
6,Beaufort County,670,10,46994,14.257139209260757
7,Bertie County,475,6,18947,25.069931915342803
8,Bladen County,764,10,32722,23.34820609987165
9,Brunswick County,1433,25,142820,10.033608738271953
10,Buncombe County,2622,72,261191,10.038630733830797
11,Burke County,1900,31,90485,20.99795546223131
12,Cabarrus County,3413,55,216453,15.767857225356083
13,Caldwell County,1477,17,82178,17.973180169875146
14,Camden County,101,3,10867,9.294193429649395
15,Carteret County,546,5,69473,7.859168309990933
16,Caswell County,257,3,22604,11.369669085117678
17,Catawba County,2712,47,159551,16.997699795049858
18,Chatham County,1543,56,74470,20.719752920639184
19,Cherokee County,487,6,28612,17.02083042080246
20,Chowan County,251,2,13943,18.00186473499247
21,Clay County,96,1,11231,8.547769566378774
22,Cleveland County,1689,46,97947,17.24401972495329
23,Columbus County,1179,52,55508,21.2401815954457
24,Craven County,1055,26,102139,10.329061377142915
25,Cumberland County,4416,69,335509,13.162091031835212
26,Currituck County,121,0,27763,4.358318625508772
27,Dare County,249,2,37009,6.728093166527062
28,Davidson County,2298,32,167609,13.710480940760936
29,Davie County,498,6,42846,11.623021985716289
30,Duplin County,2098,52,58741,35.71610970191178
31,Durham County,7114,85,321488,22.128353157816157
32,Edgecombe County,1071,22,51472,20.807429281939694
33,Forsyth County,6404,82,382295,16.75146156763756
34,Franklin County,1109,30,69685,15.91447226806343
35,Gaston County,4304,66,224529,19.16901602910983
36,Gates County,98,3,11562,8.476042207230583
37,Graham County,78,0,8441,9.240611301978438
38,Granville County,1589,47,60443,26.28923117648032
39,Greene County,457,5,21069,21.690635530874747
40,Guilford County,7281,171,537174,13.554267332372751
41,Halifax County,900,13,50010,17.99640071985603
42,Harnett County,1770,46,135976,13.017003000529506
43,Haywood County,527,31,62317,8.456761397371503
44,Henderson County,1750,60,117417,14.904145055656336
45,Hertford County,591,18,23677,24.960932550576512
46,Hoke County,911,13,55234,16.493464170619546
47,Hyde County,110,3,4937,22.280737289852137
48,Iredell County,2465,24,181806,13.558408413363695
49,Jackson County,510,7,43938,11.607264782193091
50,Johnston County,3996,52,209339,19.08865524340901
51,Jones County,142,7,9419,15.0759103938847
52,Lee County,1484,13,61779,24.02110749607472
53,Lenoir County,854,19,55949,15.263901052744465
54,Lincoln County,1214,13,86111,14.098082707203494
55,Macon County,549,2,35858,15.310390986669644
56,Madison County,75,1,21755,3.4474833371638702
57,Martin County,372,7,22440,16.577540106951872
58,McDowell County,823,24,45756,17.98671212518577
59,Mecklenburg County,26211,309,1110356,23.605942598589998
60,Mitchell County,94,3,14964,6.281742849505481
61,Montgomery County,935,18,27173,34.40915614764656
62,Moore County,1378,22,100880,13.659793814432991
63,Nash County,1825,27,94298,19.353538781310316
64,New Hanover County,3360,24,234473,14.33000814592725
65,Northampton County,351,17,19483,18.015706000102654
66,Onslow County,1617,17,197938,8.169224706726347
67,Orange County,2418,51,148476,16.28546027640831
68,Pamlico County,207,2,12726,16.265912305516267
69,Pasquotank County,600,26,39824,15.066291683406991
70,Pender County,797,4,63060,12.638756739613068
71,Perquimans County,149,2,13463,11.067369828418627
72,Person County,356,6,39490,9.014940491263609
73,Pitt County,4013,19,180742,22.20291907802282
74,Polk County,235,7,20724,11.33950974715306
75,Randolph County,2492,45,143667,17.34566741144452
76,Richmond County,724,11,44829,16.15025987641928
77,Robeson County,3822,63,130625,29.259330143540673
78,Rockingham County,982,8,91010,10.79002307438743
79,Rowan County,2934,77,142088,20.64917515905636
80,Rutherford County,1013,20,67029,15.112861597219114
81,Sampson County,1674,21,63531,26.34934126646834
82,Scotland County,743,8,34823,21.3364730207047
83,Stanly County,1618,53,62806,25.76186988504283
84,Stokes County,357,3,45591,7.83049286043298
85,Surry County,1209,19,71783,16.842427872894696
86,Swain County,135,3,14271,9.459743535841918
87,Transylvania County,274,5,34385,7.968590955358441
88,Tyrrell County,108,2,4016,26.892430278884465
89,Union County,4147,52,239859,17.28932414460162
90,Vance County,947,42,44535,21.264174244975862
91,Wake County,15741,210,1111761,14.15861862396684
92,Warren County,296,7,19731,15.001773858395419
93,Washington County,188,6,11580,16.23488773747841
94,Watauga County,488,0,56177,8.68682912935899
95,Wayne County,2916,57,123131,23.68209467965013
96,Wilkes County,1076,26,68412,15.728234812605974
97,Wilson County,1845,40,81801,22.554736494663878
98,Yadkin County,659,7,37667,17.495420394509782
99,Yancey County,105,0,18069,5.811057612485473
