,specimen_collection_date,pos,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
0,2020-02-28,0.0,2.0,0.0,2.0,0.0,More reliable
1,2020-03-01,0.0,2.0,0.0,2.0,0.0,More reliable
2,2020-03-02,0.0,2.0,0.0,2.0,0.0,More reliable
3,2020-03-03,2.0,7.0,28.57142857142857,7.0,0.0,More reliable
4,2020-03-04,0.0,11.0,0.0,11.0,0.0,More reliable
5,2020-03-05,6.0,19.0,31.578947368421048,19.0,0.0,More reliable
6,2020-03-06,1.0,20.0,5.0,20.0,9.30719656283566,More reliable
7,2020-03-07,7.0,19.0,36.84210526315789,19.0,14.570354457572506,More reliable
8,2020-03-08,3.0,9.0,33.33333333333333,9.0,19.332259219477265,More reliable
9,2020-03-09,4.0,49.0,8.16326530612245,49.0,20.49843997749475,More reliable
10,2020-03-10,7.0,69.0,10.144927536231883,69.0,17.866082686752375,More reliable
11,2020-03-11,12.0,80.0,15.0,80.0,20.00893982960952,More reliable
12,2020-03-12,9.0,152.0,5.921052631578947,152.0,16.34352629577493,More reliable
13,2020-03-13,18.0,187.0,9.62566844919786,187.0,17.004336074231766,More reliable
14,2020-03-14,10.0,73.0,13.698630136986301,73.0,13.698125341921534,More reliable
15,2020-03-15,11.0,93.0,11.827956989247312,93.0,10.62592872133782,More reliable
16,2020-03-16,41.0,236.0,17.372881355932204,236.0,11.94158815702493,More reliable
17,2020-03-17,29.0,247.0,11.740890688259109,247.0,12.169582893028819,More reliable
18,2020-03-18,26.0,250.0,10.4,250.0,11.512440035885964,More reliable
19,2020-03-19,22.0,217.0,10.138248847926267,217.0,12.114896638221294,More reliable
20,2020-03-20,38.0,235.0,16.170212765957444,235.0,13.049831540615518,More reliable
21,2020-03-21,17.0,128.0,13.28125,128.0,12.990205806760333,More reliable
22,2020-03-22,27.0,120.0,22.5,120.0,14.514783379725005,More reliable
23,2020-03-23,37.0,283.0,13.074204946996467,283.0,13.900686749877037,More reliable
24,2020-03-24,49.0,276.0,17.753623188405797,276.0,14.759648535612286,More reliable
25,2020-03-25,49.0,307.0,15.960912052117262,307.0,15.554064543057606,More reliable
26,2020-03-26,44.0,342.0,12.865497076023393,342.0,15.943671432785766,More reliable
27,2020-03-27,34.0,391.0,8.695652173913043,391.0,14.875877062493709,More reliable
28,2020-03-28,22.0,231.0,9.523809523809524,231.0,14.339099851609351,More reliable
29,2020-03-29,16.0,119.0,13.445378151260504,119.0,13.045582444646568,More reliable
30,2020-03-30,46.0,300.0,15.333333333333332,300.0,13.36831507126612,More reliable
31,2020-03-31,60.0,306.0,19.607843137254907,306.0,13.633203635387426,More reliable
32,2020-04-01,45.0,307.0,14.65798045602606,307.0,13.44707055023154,More reliable
33,2020-04-02,43.0,326.0,13.190184049079758,326.0,13.493454403525305,More reliable
34,2020-04-03,31.0,313.0,9.904153354632587,313.0,13.666097429342383,More reliable
35,2020-04-04,20.0,162.0,12.345679012345679,162.0,14.069221641990405,More reliable
36,2020-04-05,37.0,216.0,17.12962962962963,216.0,14.595543281757418,More reliable
37,2020-04-06,62.0,397.0,15.617128463476071,397.0,14.636085443206385,More reliable
