,Unnamed: 0,Deaths,Cases,Total Deaths,Date,7 day average
0,0,0,0,0,02/29/2020,0.0
1,1,0,0,0,03/01/2020,0.0
2,2,0,0,0,03/02/2020,0.0
3,3,0,0,0,03/03/2020,0.0
4,4,0,1,0,03/04/2020,0.5
5,5,0,3,0,03/05/2020,0.5
6,6,0,1,0,03/06/2020,0.7142857142857143
7,7,0,2,0,03/07/2020,1.0
8,8,0,5,0,03/08/2020,1.7142857142857142
9,9,0,16,0,03/09/2020,4.0
10,10,0,11,0,03/10/2020,5.571428571428571
11,11,0,31,0,03/11/2020,9.857142857142858
12,12,0,96,0,03/12/2020,23.142857142857146
13,13,0,166,0,03/13/2020,46.714285714285715
14,14,1,163,1,03/14/2020,69.71428571428571
15,15,0,433,1,03/15/2020,130.85714285714286
16,16,1,740,2,03/16/2020,234.28571428571428
17,17,4,783,6,03/17/2020,344.57142857142856
18,18,6,966,12,03/18/2020,478.1428571428572
19,19,6,1204,18,03/19/2020,636.4285714285714
20,20,11,1137,29,03/20/2020,775.1428571428571
21,21,12,554,41,03/21/2020,831.0
22,22,10,755,51,03/22/2020,877.0
23,23,27,910,78,03/23/2020,901.2857142857144
24,24,23,1211,101,03/24/2020,962.4285714285713
25,25,37,1254,138,03/25/2020,1003.5714285714287
26,26,50,1374,188,03/26/2020,1027.857142857143
27,27,75,1423,263,03/27/2020,1068.7142857142858
28,28,78,864,341,03/28/2020,1113.0
29,29,89,1149,430,03/29/2020,1169.2857142857142
30,30,106,1754,536,03/30/2020,1289.857142857143
31,31,126,1514,662,03/31/2020,1333.142857142857
32,32,135,1589,797,04/01/2020,1381.0
33,33,170,1613,967,04/02/2020,1415.142857142857
34,34,142,1441,1109,04/03/2020,1417.7142857142858
35,35,163,922,1272,04/04/2020,1426.0
36,36,166,1141,1438,04/05/2020,1424.857142857143
37,37,169,1462,1607,04/06/2020,1383.142857142857
38,38,181,1396,1788,04/07/2020,1366.2857142857142
39,39,173,1310,1961,04/08/2020,1326.4285714285713
40,40,190,1369,2151,04/09/2020,1291.5714285714287
41,41,178,1153,2329,04/10/2020,1250.4285714285713
42,42,159,1129,2488,04/11/2020,1280.0
43,43,201,702,2689,04/12/2020,1217.2857142857142
44,44,158,1065,2847,04/13/2020,1160.5714285714287
45,45,152,1035,2999,04/14/2020,1109.0
46,46,132,882,3131,04/15/2020,1047.857142857143
47,47,126,884,3257,04/16/2020,978.5714285714287
48,48,118,960,3375,04/17/2020,951.0
49,49,116,575,3491,04/18/2020,871.8571428571429
50,50,118,635,3609,04/19/2020,862.2857142857142
51,51,95,983,3704,04/20/2020,850.5714285714287
52,52,92,896,3796,04/21/2020,830.7142857142858
53,53,107,854,3903,04/22/2020,826.7142857142858
54,54,106,786,4009,04/23/2020,812.7142857142858
55,55,93,629,4102,04/24/2020,765.4285714285713
56,56,76,405,4178,04/25/2020,741.1428571428571
57,57,61,332,4239,04/26/2020,697.8571428571429
58,58,88,608,4327,04/27/2020,644.2857142857142
59,59,57,711,4384,04/28/2020,617.8571428571429
60,60,71,681,4455,04/29/2020,593.1428571428571
61,61,65,600,4520,04/30/2020,566.5714285714286
62,62,56,497,4576,05/01/2020,547.7142857142857
63,63,45,263,4621,05/02/2020,527.4285714285714
64,64,45,247,4666,05/03/2020,515.2857142857143
65,65,42,462,4708,05/04/2020,494.4285714285714
66,66,49,433,4757,05/05/2020,454.71428571428567
67,67,38,450,4795,05/06/2020,421.71428571428567
68,68,46,403,4841,05/07/2020,393.57142857142856
69,69,43,344,4884,05/08/2020,371.71428571428567
70,70,28,119,4912,05/09/2020,351.1428571428572
71,71,26,188,4938,05/10/2020,342.7142857142857
72,72,33,410,4971,05/11/2020,335.2857142857143
73,73,33,400,5004,05/12/2020,330.57142857142856
74,74,23,362,5027,05/13/2020,318.0
75,75,14,334,5041,05/14/2020,308.14285714285717
76,76,27,259,5068,05/15/2020,296.0
77,77,24,165,5092,05/16/2020,302.57142857142856
78,78,19,138,5111,05/17/2020,295.42857142857144
79,79,17,267,5128,05/18/2020,275.0
80,80,16,328,5144,05/19/2020,264.7142857142857
81,81,21,323,5165,05/20/2020,259.14285714285717
82,82,15,336,5180,05/21/2020,259.42857142857144
83,83,15,351,5195,05/22/2020,272.57142857142856
84,84,20,143,5215,05/23/2020,269.42857142857144
85,85,12,161,5227,05/24/2020,272.7142857142857
86,86,14,160,5241,05/25/2020,257.42857142857144
87,87,12,319,5253,05/26/2020,256.14285714285717
88,88,11,246,5264,05/27/2020,245.14285714285717
89,89,12,221,5276,05/28/2020,228.7142857142857
90,90,16,167,5292,05/29/2020,202.42857142857144
91,91,10,105,5302,05/30/2020,197.0
92,92,11,84,5313,05/31/2020,186.0
93,93,10,252,5323,06/01/2020,199.14285714285717
94,94,6,185,5329,06/02/2020,180.0
95,95,13,133,5342,06/03/2020,163.85714285714286
96,96,10,131,5352,06/04/2020,151.0
97,97,6,132,5358,06/05/2020,146.0
98,98,10,59,5368,06/06/2020,139.42857142857142
99,99,6,52,5374,06/07/2020,134.85714285714286
100,100,13,112,5387,06/08/2020,114.85714285714286
101,101,6,121,5393,06/09/2020,105.71428571428572
102,102,11,97,5404,06/10/2020,100.57142857142857
103,103,4,113,5408,06/11/2020,98.0
104,104,6,123,5414,06/12/2020,96.71428571428572
105,105,4,52,5418,06/13/2020,95.71428571428572
106,106,7,53,5425,06/14/2020,95.85714285714286
107,107,4,102,5429,06/15/2020,94.42857142857143
108,108,5,133,5434,06/16/2020,96.14285714285714
109,109,6,113,5440,06/17/2020,98.42857142857143
110,110,4,112,5444,06/18/2020,98.28571428571428
111,111,3,91,5447,06/19/2020,93.71428571428572
112,112,3,46,5450,06/20/2020,92.85714285714286
113,113,6,54,5456,06/21/2020,93.0
114,114,6,110,5462,06/22/2020,94.14285714285714
115,115,7,95,5469,06/23/2020,88.7142857142857
116,116,9,101,5478,06/24/2020,87.0
117,117,5,82,5483,06/25/2020,82.71428571428571
118,118,3,94,5486,06/26/2020,83.14285714285714
119,119,10,70,5496,06/27/2020,86.57142857142857
120,120,1,58,5497,06/28/2020,87.14285714285714
121,121,3,127,5500,06/29/2020,89.57142857142857
122,122,4,128,5504,06/30/2020,94.28571428571428
123,123,4,120,5508,07/01/2020,97.0
124,124,3,127,5511,07/02/2020,103.42857142857143
125,125,3,72,5514,07/03/2020,100.28571428571428
126,126,6,23,5520,07/04/2020,93.57142857142857
127,127,4,53,5524,07/05/2020,92.85714285714286
128,128,2,142,5526,07/06/2020,95.0
129,129,3,123,5529,07/07/2020,94.28571428571428
130,130,3,121,5532,07/08/2020,94.42857142857143
131,131,4,104,5536,07/09/2020,91.14285714285714
132,132,2,90,5538,07/10/2020,93.71428571428572
133,133,2,73,5540,07/11/2020,100.85714285714286
134,134,2,55,5542,07/12/2020,101.14285714285714
135,135,1,123,5543,07/13/2020,98.42857142857143
136,136,4,111,5547,07/14/2020,96.71428571428572
137,137,2,149,5549,07/15/2020,100.71428571428572
138,138,2,90,5551,07/16/2020,98.71428571428572
139,139,0,105,5551,07/17/2020,100.85714285714286
140,140,4,58,5555,07/18/2020,98.71428571428572
141,141,3,40,5558,07/19/2020,96.57142857142857
142,142,4,85,5562,07/20/2020,91.14285714285714
143,143,5,79,5567,07/21/2020,86.57142857142857
144,144,1,96,5568,07/22/2020,79.0
145,145,5,85,5573,07/23/2020,78.28571428571429
146,146,2,68,5575,07/24/2020,73.0
147,147,2,35,5577,07/25/2020,69.71428571428571
148,148,4,40,5581,07/26/2020,69.71428571428571
149,149,2,79,5583,07/27/2020,68.85714285714286
150,150,1,107,5584,07/28/2020,72.85714285714286
151,151,1,72,5585,07/29/2020,69.42857142857143
152,152,2,98,5587,07/30/2020,71.28571428571429
153,153,1,79,5588,07/31/2020,72.85714285714286
154,154,3,58,5591,08/01/2020,76.14285714285714
155,155,2,41,5593,08/02/2020,76.28571428571429
156,156,0,93,5593,08/03/2020,78.28571428571429
157,157,1,49,5594,08/04/2020,70.0
158,158,0,91,5594,08/05/2020,72.71428571428571
159,159,2,87,5596,08/06/2020,71.14285714285714
160,160,0,90,5596,08/07/2020,72.71428571428571
161,161,1,58,5597,08/08/2020,72.71428571428571
162,162,0,48,5597,08/09/2020,73.71428571428571
163,163,1,74,5598,08/10/2020,71.0
164,164,1,82,5599,08/11/2020,75.71428571428571
165,165,0,114,5599,08/12/2020,79.0
166,166,2,87,5601,08/13/2020,79.0
167,167,0,80,5601,08/14/2020,77.57142857142857
168,168,2,33,5603,08/15/2020,74.0
169,169,1,49,5604,08/16/2020,74.14285714285714
170,170,1,95,5605,08/17/2020,77.14285714285714
171,171,0,66,5605,08/18/2020,74.85714285714286
172,172,1,71,5606,08/19/2020,68.71428571428571
173,173,3,55,5609,08/20/2020,64.14285714285714
174,174,0,75,5609,08/21/2020,63.42857142857143
175,175,2,36,5611,08/22/2020,63.85714285714285
176,176,0,55,5611,08/23/2020,64.71428571428571
177,177,1,85,5612,08/24/2020,63.28571428571429
178,178,2,84,5614,08/25/2020,65.85714285714286
179,179,1,116,5615,08/26/2020,72.28571428571429
180,180,0,99,5615,08/27/2020,78.57142857142857
181,181,0,79,5615,08/28/2020,79.14285714285714
182,182,1,38,5616,08/29/2020,79.42857142857143
